model,true_class,predicted_class,count,percentage_of_test_set
VGG16,glioma,meningioma,51,3.1875
VGG16,glioma,notumor,22,1.375
VGG16,glioma,pituitary,8,0.5
VGG16,meningioma,glioma,2,0.125
VGG16,meningioma,notumor,1,0.0625
VGG16,meningioma,pituitary,17,1.0625
VGG16,notumor,meningioma,1,0.0625
VGG16,pituitary,glioma,1,0.0625
VGG16,pituitary,meningioma,2,0.125
ResNet50,glioma,meningioma,47,2.9375
ResNet50,glioma,notumor,24,1.5
ResNet50,glioma,pituitary,3,0.1875
ResNet50,meningioma,glioma,17,1.0625
ResNet50,meningioma,notumor,2,0.125
ResNet50,meningioma,pituitary,22,1.375
ResNet50,pituitary,glioma,1,0.0625
ResNet50,pituitary,meningioma,2,0.125
EfficientNetB0,glioma,meningioma,66,4.125
EfficientNetB0,glioma,notumor,23,1.4375
EfficientNetB0,glioma,pituitary,6,0.375
EfficientNetB0,meningioma,glioma,18,1.125
EfficientNetB0,meningioma,notumor,12,0.75
EfficientNetB0,meningioma,pituitary,19,1.1875
EfficientNetB0,notumor,meningioma,5,0.3125
EfficientNetB0,pituitary,glioma,6,0.375
EfficientNetB0,pituitary,meningioma,3,0.1875
