image_id,filename,model,true_class,predicted_class,confidence,failure_type,target_layer,gradcam_filepath
0,glioma/Te-gl_1.jpg,EfficientNetB0,glioma,glioma,0.552734375,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img0_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
0,glioma/Te-gl_1.jpg,EfficientNetB0,glioma,glioma,0.552734375,pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img0_pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0.png
0,glioma/Te-gl_1.jpg,ResNet50,glioma,pituitary,0.60498046875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img0_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
0,glioma/Te-gl_1.jpg,ResNet50,glioma,pituitary,0.60498046875,pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img0_pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0.png
0,glioma/Te-gl_1.jpg,VGG16,glioma,meningioma,0.47705078125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img0_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
0,glioma/Te-gl_1.jpg,VGG16,glioma,meningioma,0.47705078125,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img0_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
3,glioma/Te-gl_101.jpg,ResNet50,glioma,glioma,0.9892578125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img3_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
3,glioma/Te-gl_101.jpg,VGG16,glioma,pituitary,0.82763671875,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img3_model_specific_failure.png
3,glioma/Te-gl_101.jpg,VGG16,glioma,pituitary,0.82763671875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img3_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
5,glioma/Te-gl_103.jpg,EfficientNetB0,glioma,meningioma,0.9541015625,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img5_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
5,glioma/Te-gl_103.jpg,ResNet50,glioma,notumor,0.9853515625,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img5_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
6,glioma/Te-gl_104.jpg,EfficientNetB0,glioma,meningioma,0.50634765625,model_specific_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img6_model_specific_failure.png
8,glioma/Te-gl_106.jpg,VGG16,glioma,meningioma,0.9951171875,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img8_glioma_meningioma_confusion.png
11,glioma/Te-gl_109.jpg,EfficientNetB0,glioma,meningioma,0.98193359375,glioma_meningioma_confusion,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img11_glioma_meningioma_confusion.png
11,glioma/Te-gl_109.jpg,ResNet50,glioma,meningioma,0.9990234375,glioma_meningioma_confusion,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img11_glioma_meningioma_confusion.png
13,glioma/Te-gl_110.jpg,VGG16,glioma,meningioma,0.54638671875,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img13_model_specific_failure.png
18,glioma/Te-gl_115.jpg,EfficientNetB0,glioma,meningioma,0.46240234375,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img18_shared_failure.png
18,glioma/Te-gl_115.jpg,ResNet50,glioma,meningioma,0.7373046875,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img18_shared_failure.png
18,glioma/Te-gl_115.jpg,VGG16,glioma,meningioma,0.7001953125,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img18_shared_failure.png
22,glioma/Te-gl_119.jpg,ResNet50,glioma,meningioma,0.5625,model_specific_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img22_model_specific_failure.png
