image_id,filename,true_class,model,predicted_class,confidence,failure_type,selection_reason
347,glioma/Te-gl_51.jpg,glioma,VGG16,glioma,0.7060546875,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
347,glioma/Te-gl_51.jpg,glioma,ResNet50,meningioma,0.8359375,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
22,glioma/Te-gl_119.jpg,glioma,VGG16,glioma,0.994140625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
22,glioma/Te-gl_119.jpg,glioma,ResNet50,meningioma,0.5625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
535,meningioma/Te-me_128.jpg,meningioma,VGG16,meningioma,0.99609375,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
535,meningioma/Te-me_128.jpg,meningioma,ResNet50,pituitary,0.6015625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
495,meningioma/Te-aug-me_92.jpg,meningioma,VGG16,meningioma,0.69775390625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
495,meningioma/Te-aug-me_92.jpg,meningioma,ResNet50,pituitary,0.6630859375,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
494,meningioma/Te-aug-me_91.jpg,meningioma,VGG16,meningioma,0.68212890625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
494,meningioma/Te-aug-me_91.jpg,meningioma,ResNet50,pituitary,0.88134765625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
381,glioma/Te-gl_82.jpg,glioma,VGG16,glioma,0.62255859375,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
381,glioma/Te-gl_82.jpg,glioma,ResNet50,meningioma,0.564453125,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
625,meningioma/Te-me_209.jpg,meningioma,VGG16,meningioma,0.9462890625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
625,meningioma/Te-me_209.jpg,meningioma,ResNet50,pituitary,0.56982421875,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
107,glioma/Te-gl_196.jpg,glioma,VGG16,glioma,0.88671875,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
107,glioma/Te-gl_196.jpg,glioma,ResNet50,meningioma,0.66259765625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
557,meningioma/Te-me_148.jpg,meningioma,VGG16,meningioma,0.869140625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
557,meningioma/Te-me_148.jpg,meningioma,ResNet50,glioma,0.75244140625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
740,meningioma/Te-me_45.jpg,meningioma,VGG16,meningioma,0.87353515625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
740,meningioma/Te-me_45.jpg,meningioma,ResNet50,glioma,0.85888671875,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16 vs ResNet50: A correct B wrong
660,meningioma/Te-me_240.jpg,meningioma,VGG16,pituitary,0.673828125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
660,meningioma/Te-me_240.jpg,meningioma,ResNet50,meningioma,0.8701171875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
79,glioma/Te-gl_170.jpg,glioma,VGG16,meningioma,0.7802734375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
79,glioma/Te-gl_170.jpg,glioma,ResNet50,glioma,0.59375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
3,glioma/Te-gl_101.jpg,glioma,VGG16,pituitary,0.82763671875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
3,glioma/Te-gl_101.jpg,glioma,ResNet50,glioma,0.9892578125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
144,glioma/Te-gl_229.jpg,glioma,VGG16,meningioma,0.97802734375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
144,glioma/Te-gl_229.jpg,glioma,ResNet50,glioma,0.75341796875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
129,glioma/Te-gl_215.jpg,glioma,VGG16,meningioma,0.474853515625,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
129,glioma/Te-gl_215.jpg,glioma,ResNet50,glioma,0.900390625,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
634,meningioma/Te-me_217.jpg,meningioma,VGG16,pituitary,0.5654296875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
634,meningioma/Te-me_217.jpg,meningioma,ResNet50,meningioma,0.96435546875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
84,glioma/Te-gl_175.jpg,glioma,VGG16,meningioma,0.85205078125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
84,glioma/Te-gl_175.jpg,glioma,ResNet50,glioma,0.998046875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
1175,notumor/Te-no_77.jpg,notumor,VGG16,meningioma,0.568359375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
1175,notumor/Te-no_77.jpg,notumor,ResNet50,notumor,0.7138671875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
75,glioma/Te-gl_167.jpg,glioma,VGG16,notumor,0.5263671875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
75,glioma/Te-gl_167.jpg,glioma,ResNet50,glioma,0.9892578125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
145,glioma/Te-gl_23.jpg,glioma,VGG16,meningioma,0.990234375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
145,glioma/Te-gl_23.jpg,glioma,ResNet50,glioma,0.9951171875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16 vs ResNet50: A wrong B correct
68,glioma/Te-gl_160.jpg,glioma,VGG16,meningioma,0.87890625,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
68,glioma/Te-gl_160.jpg,glioma,ResNet50,pituitary,0.9453125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
0,glioma/Te-gl_1.jpg,glioma,VGG16,meningioma,0.47705078125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
0,glioma/Te-gl_1.jpg,glioma,ResNet50,pituitary,0.60498046875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
338,glioma/Te-gl_43.jpg,glioma,VGG16,meningioma,0.54443359375,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
338,glioma/Te-gl_43.jpg,glioma,ResNet50,notumor,0.728515625,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
127,glioma/Te-gl_213.jpg,glioma,VGG16,pituitary,0.40576171875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
127,glioma/Te-gl_213.jpg,glioma,ResNet50,meningioma,0.7529296875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16 vs ResNet50: both wrong different preds
