image_id,filename,true_class,model,predicted_class,confidence,threshold
3,glioma/Te-gl_101.jpg,glioma,VGG16,pituitary,0.82763671875,0.8
8,glioma/Te-gl_106.jpg,glioma,VGG16,meningioma,0.9951171875,0.8
11,glioma/Te-gl_109.jpg,glioma,VGG16,meningioma,0.97705078125,0.8
33,glioma/Te-gl_129.jpg,glioma,VGG16,notumor,0.970703125,0.8
46,glioma/Te-gl_140.jpg,glioma,VGG16,meningioma,1.0,0.8
56,glioma/Te-gl_15.jpg,glioma,VGG16,meningioma,0.9677734375,0.8
58,glioma/Te-gl_151.jpg,glioma,VGG16,meningioma,0.9990234375,0.8
68,glioma/Te-gl_160.jpg,glioma,VGG16,meningioma,0.87890625,0.8
80,glioma/Te-gl_171.jpg,glioma,VGG16,meningioma,0.9970703125,0.8
84,glioma/Te-gl_175.jpg,glioma,VGG16,meningioma,0.85205078125,0.8
99,glioma/Te-gl_189.jpg,glioma,VGG16,notumor,0.927734375,0.8
125,glioma/Te-gl_211.jpg,glioma,VGG16,meningioma,0.9716796875,0.8
126,glioma/Te-gl_212.jpg,glioma,VGG16,meningioma,0.931640625,0.8
132,glioma/Te-gl_218.jpg,glioma,VGG16,notumor,0.9990234375,0.8
143,glioma/Te-gl_228.jpg,glioma,VGG16,meningioma,0.9970703125,0.8
144,glioma/Te-gl_229.jpg,glioma,VGG16,meningioma,0.97802734375,0.8
145,glioma/Te-gl_23.jpg,glioma,VGG16,meningioma,0.990234375,0.8
154,glioma/Te-gl_238.jpg,glioma,VGG16,meningioma,1.0,0.8
183,glioma/Te-gl_264.jpg,glioma,VGG16,meningioma,1.0,0.8
189,glioma/Te-gl_27.jpg,glioma,VGG16,meningioma,0.9921875,0.8
192,glioma/Te-gl_272.jpg,glioma,VGG16,meningioma,0.931640625,0.8
195,glioma/Te-gl_275.jpg,glioma,VGG16,pituitary,0.97998046875,0.8
227,glioma/Te-gl_303.jpg,glioma,VGG16,notumor,0.970703125,0.8
230,glioma/Te-gl_306.jpg,glioma,VGG16,meningioma,0.95263671875,0.8
239,glioma/Te-gl_314.jpg,glioma,VGG16,meningioma,0.9990234375,0.8
243,glioma/Te-gl_318.jpg,glioma,VGG16,notumor,1.0,0.8
245,glioma/Te-gl_32.jpg,glioma,VGG16,meningioma,0.95166015625,0.8
262,glioma/Te-gl_335.jpg,glioma,VGG16,meningioma,1.0,0.8
265,glioma/Te-gl_338.jpg,glioma,VGG16,meningioma,0.931640625,0.8
269,glioma/Te-gl_341.jpg,glioma,VGG16,notumor,1.0,0.8
279,glioma/Te-gl_350.jpg,glioma,VGG16,notumor,0.97509765625,0.8
287,glioma/Te-gl_358.jpg,glioma,VGG16,notumor,0.9931640625,0.8
321,glioma/Te-gl_389.jpg,glioma,VGG16,meningioma,0.95166015625,0.8
322,glioma/Te-gl_39.jpg,glioma,VGG16,meningioma,0.9921875,0.8
324,glioma/Te-gl_391.jpg,glioma,VGG16,pituitary,0.92919921875,0.8
342,glioma/Te-gl_47.jpg,glioma,VGG16,meningioma,0.9990234375,0.8
354,glioma/Te-gl_58.jpg,glioma,VGG16,meningioma,0.9892578125,0.8
