label,task,predictor,n_pos,n_neg,prevalence,auroc,auroc_lo,auroc_hi,pr_auc,pr_auc_baseline,median_conf_pos,median_conf_neg,q25_conf_pos,q75_conf_pos,q25_conf_neg,q75_conf_neg,mw_U,mw_p,family,tier
error detection VGG16,error_detection_per_model,VGG_conf,105,1495,0.065625,0.8703424112119764,0.8294455352741756,0.9070562581629733,0.46635990128053256,0.065625,0.87890625,1.0,0.6708984375,0.9892578125,0.998046875,1.0,20353.0,3.653482871487472e-50,S_confidence_error_detection,secondary
error detection ResNet50,error_detection_per_model,ResNet_conf,118,1482,0.07375,0.905107047279215,0.875358313980115,0.9317892413453817,0.45197953864142104,0.07375,0.8681640625,1.0,0.68017578125,0.9853515625,0.9990234375,1.0,16594.5,1.673776815091026e-64,S_confidence_error_detection,secondary
error detection EfficientNetB0,error_detection_per_model,EffNet_conf,158,1442,0.09875,0.8924687055601398,0.8728048837261346,0.911751413939108,0.4525074127588542,0.09875,0.76416015625,0.99267578125,0.5947265625,0.8873291015625,0.94970703125,0.9990234375,24499.5,1.6205037698222168e-59,S_confidence_error_detection,secondary
shared_vs_all_others via VGG_conf,shared_vs_all_others,VGG_conf,72,1528,0.045,0.8105502835951134,0.7528402304881363,0.859948449379943,0.21194715759919186,0.045,0.9521484375,1.0,0.6923828125,0.9970703125,0.998046875,1.0,20842.5,1.3899805230927744e-25,S_shared_detection_A,secondary
shared_vs_all_others via ResNet_conf,shared_vs_all_others,ResNet_conf,72,1528,0.045,0.847944844386271,0.8023975684846553,0.8881467175105946,0.18992609439642655,0.045,0.9501953125,1.0,0.80322265625,0.9951171875,0.998046875,1.0,16728.5,7.159858178211404e-31,S_shared_detection_A,secondary
shared_vs_all_others via EffNet_conf,shared_vs_all_others,EffNet_conf,72,1528,0.045,0.850185427574171,0.8214842124536815,0.8781423446593997,0.17695273885026297,0.045,0.801025390625,0.990234375,0.6531982421875,0.9012451171875,0.93408203125,0.9990234375,16482.0,6.272409341172909e-24,S_shared_detection_A,secondary
shared_vs_all_others via mean_conf,shared_vs_all_others,mean_conf,72,1528,0.045,0.8835033086096568,0.8560447195502089,0.9091047538346267,0.2586963421977381,0.045,0.854248046875,0.9964192708333334,0.7556966145833334,0.9262288411458334,0.9629313151041666,0.9996744791666666,12816.5,2.372803342470513e-28,S_shared_detection_A,secondary
shared_vs_all_others via min_conf,shared_vs_all_others,min_conf,72,1528,0.045,0.8716141288539849,0.8444967015125855,0.8960981136639006,0.19768704104943394,0.045,0.680908203125,0.990234375,0.57421875,0.84814453125,0.90869140625,0.9990234375,14124.5,1.0003384908817258e-26,S_shared_detection_A,secondary
shared_vs_model_specific(1 wrong) via VGG_conf,shared_vs_model_specific(1 wrong),VGG_conf,72,95,0.4311377245508982,0.49817251461988304,0.40653999110928285,0.5901534133493223,0.4739720790335687,0.4311377245508982,0.9521484375,0.95947265625,0.6923828125,0.9970703125,0.841552734375,0.99169921875,3432.5,0.9690431704041463,S_shared_detection_B,secondary
shared_vs_model_specific(1 wrong) via ResNet_conf,shared_vs_model_specific(1 wrong),ResNet_conf,72,95,0.4311377245508982,0.48004385964912283,0.3887154955559282,0.5688410021162545,0.4307039203805698,0.4311377245508982,0.9501953125,0.94970703125,0.80322265625,0.9951171875,0.75341796875,0.99365234375,3556.5,0.6601759571722556,S_shared_detection_B,secondary
shared_vs_model_specific(1 wrong) via EffNet_conf,shared_vs_model_specific(1 wrong),EffNet_conf,72,95,0.4311377245508982,0.41096491228070176,0.32635731256757833,0.49768525112443773,0.3930482357984338,0.4311377245508982,0.801025390625,0.7265625,0.6531982421875,0.9012451171875,0.541748046875,0.877685546875,4029.0,0.04924861938874953,S_shared_detection_B,secondary
shared_vs_model_specific(1 wrong) via mean_conf,shared_vs_model_specific(1 wrong),mean_conf,72,95,0.4311377245508982,0.4388157894736842,0.34295619972668884,0.534700438083617,0.47381816428538237,0.4311377245508982,0.854248046875,0.8269856770833334,0.7556966145833334,0.9262288411458334,0.7823486328125,0.8656412760416667,3838.5,0.17676046887192676,S_shared_detection_B,secondary
shared_vs_model_specific(1 wrong) via min_conf,shared_vs_model_specific(1 wrong),min_conf,72,95,0.4311377245508982,0.3734649122807018,0.2882259846508363,0.4633503028404343,0.3888788038968566,0.4311377245508982,0.680908203125,0.60400390625,0.57421875,0.84814453125,0.532958984375,0.72216796875,4285.5,0.005184859221673199,S_shared_detection_B,secondary
shared_vs_partial(1 or 2 wrong) via VGG_conf,shared_vs_partial(1 or 2 wrong),VGG_conf,72,130,0.3564356435643564,0.4482905982905983,0.3628998165254938,0.5367799222283093,0.3571070426184502,0.3564356435643564,0.9521484375,0.926513671875,0.6923828125,0.9970703125,0.765625,0.989013671875,5164.0,0.22413336594588307,S_shared_detection_C,secondary
shared_vs_partial(1 or 2 wrong) via ResNet_conf,shared_vs_partial(1 or 2 wrong),ResNet_conf,72,130,0.3564356435643564,0.45865384615384613,0.3749267491087344,0.5422065415781793,0.3534955578991441,0.3564356435643564,0.9501953125,0.93408203125,0.80322265625,0.9951171875,0.7421875,0.9912109375,5067.0,0.3312434524482947,S_shared_detection_C,secondary
shared_vs_partial(1 or 2 wrong) via EffNet_conf,shared_vs_partial(1 or 2 wrong),EffNet_conf,72,130,0.3564356435643564,0.43162393162393164,0.3508552381740861,0.5140262511211416,0.3364933052518366,0.3564356435643564,0.801025390625,0.73046875,0.6531982421875,0.9012451171875,0.56201171875,0.8985595703125,5320.0,0.1080238728686036,S_shared_detection_C,secondary
