scope,metric,group_a,group_b,label,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mean_diff_lo,mean_diff_hi,median_diff,median_diff_lo,median_diff_hi,mw_U,mw_p,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,magnitude,family,tier,model,note
image_level,mean_conf,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [mean_conf],72,95,0.8356865776909722,0.8235522889254385,0.854248046875,0.8269856770833334,0.012134288765533685,-0.018537586353443325,0.04372470937509528,0.02726236979166663,-0.018312581380208443,0.07120768229166663,3838.5,0.17676046887192676,0.12236842105263158,-0.07048245614035088,0.3181359649122807,negligible,P2_image_level_shared_vs_specific,primary,,
image_level,min_conf,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [min_conf],72,95,0.6995747884114584,0.6335526315789474,0.680908203125,0.60400390625,0.066022156832511,0.018953236362390356,0.11361455549273577,0.076904296875,0.020751953125,0.15380859375,4285.5,0.005184859221673199,0.2530701754385965,0.07703947368421052,0.43176535087719276,small,P2_image_level_shared_vs_specific,primary,,
image_level,conf_range,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [conf_range],72,95,0.24217054578993055,0.3287314967105263,0.239501953125,0.34912109375,-0.08656095092059576,-0.12717446667409082,-0.04313209578307755,-0.109619140625,-0.183349609375,-0.04320068359375018,2170.5,5.431142856443859e-05,-0.3653508771929825,-0.5253179824561404,-0.19544590643274865,medium,P2_image_level_shared_vs_specific,primary,,
image_level,mean_ptrue,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [mean_ptrue],72,95,0.0575817045238283,0.6809683849937037,0.02026716868082682,0.6942545572916666,-0.6233866804698754,-0.6516403473343619,-0.5946996204400359,-0.6739873886108398,-0.694824198881785,-0.6349049806594849,1.0,2.26483598186795e-28,-0.9997076023391813,-1.0,-0.9982456140350877,large,P2_image_level_shared_vs_specific,primary,,
image_level,min_ptrue,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [min_ptrue],72,95,0.022386457357141707,0.2577540447837428,0.0001442432403564453,0.26123046875,-0.2353675874266011,-0.2692113554980933,-0.20122029131659644,-0.26108622550964355,-0.33137779384851457,-0.19831936955451965,318.0,1.1374977032978813e-23,-0.9070175438596492,-0.9579093567251462,-0.8453143274853802,large,P2_image_level_shared_vs_specific,primary,,
image_level,mean_conf_wrong_models,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [mean_conf_wrong_models],72,95,0.8356865776909722,0.6855057565789474,0.854248046875,0.64453125,0.1501808211120248,0.10995010048790047,0.19071313928674777,0.209716796875,0.12254638671875001,0.26692708333333337,5257.0,2.9426439968537016e-09,0.5371345029239766,0.3973538011695907,0.6710672514619882,large,S_image_level_wrong_model_metrics,secondary,,
image_level,mean_ptrue_wrong_models,shared_failure,one_model_failure,image_level: shared_failure vs one_model_failure [mean_ptrue_wrong_models],72,95,0.0575817045238283,0.2577540447837428,0.02026716868082682,0.26123046875,-0.2001723402599145,-0.23629867434893784,-0.16325907831477846,-0.2409633000691732,-0.3102620244026184,-0.17875734965006523,815.0,3.876167624211314e-17,-0.7616959064327485,-0.8523391812865497,-0.6523172514619884,large,S_image_level_wrong_model_metrics,secondary,,
image_level,mean_conf,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [mean_conf],72,35,0.8356865776909722,0.7890880766369047,0.854248046875,0.8009440104166666,0.04659850105406749,0.005758392495452952,0.08703437280402582,0.05330403645833337,0.0033365885416667407,0.12581990559895828,1603.5,0.02274661787579575,0.2726190476190476,0.04123015873015873,0.476984126984127,small,S_difficulty_other_contrasts,secondary,,
image_level,min_conf,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [min_conf],72,35,0.6995747884114584,0.6467843191964285,0.680908203125,0.64794921875,0.052790469215029834,-0.0037081327892485244,0.10899633498418905,0.032958984375,-0.045654296875,0.14846191406249964,1497.0,0.1163011815053878,0.1880952380952381,-0.04366071428571428,0.40557539682539673,small,S_difficulty_other_contrasts,secondary,,
image_level,conf_range,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [conf_range],72,35,0.24217054578993055,0.2793596540178571,0.239501953125,0.28662109375,-0.037189108227926565,-0.09035128881060892,0.019959515768384162,-0.047119140625,-0.132818603515625,0.038818359375,1050.5,0.16518138509339952,-0.16626984126984126,-0.38532738095238095,0.07822420634920609,small,S_difficulty_other_contrasts,secondary,,
