section,group,n,total,note,rate,ci_lo,ci_hi,cohen_kappa_multiclass,same_wrong_class_when_both_wrong,model,group_a,group_b,label,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mean_diff_lo,mean_diff_hi,median_diff,median_diff_lo,median_diff_hi,mw_U,mw_p,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,magnitude,fisher_p,odds_ratio,error_rate_a,error_rate_b,family,tier,metric
outcome_counts,unanimous_correct,1398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outcome_counts,disagreement,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outcome_counts,unanimous_wrong,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,split_1_1_1|shared_failure,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,split_1_1_1|two_model_failures,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,split_2_1|one_model_failure,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,split_2_1|shared_failure,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,split_2_1|two_model_failures,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,unanimous|correct_all,1398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement_x_category,unanimous|shared_failure,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shared_failure_agreement,shared_failures_same_wrong_class(unanimous),49.0,72.0,these are invisible to any disagreement-based flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shared_failure_agreement,shared_failures_with_class_disagreement,23.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unanimity_precision,P(all correct | unanimous),1398.0,1447.0,,0.9661368348306841,0.9555136802801987,0.9742914755686549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
