model,mode,aurc,aurc_oracle,aurc_random_baseline,e_aurc,level,n_retained,coverage_actual,accuracy_retained,risk_retained,frac_all_errors_rejected,frac_shared_rejected,frac_own_nonshared_errors_rejected,frac_own_specific_errors_rejected,frac_correct_rejected,frac_rejected_expected_random,fisher_p_shared_vs_nonshared_rejected_DESCRIPTIVE,frac_glioma_rejected,frac_meningioma_rejected,frac_notumor_rejected,frac_pituitary_rejected
VGG16,summary,0.01919387806208579,0.002222536832119881,0.065625,0.01697134122996591,,,,,,,,,,,,,,,,
VGG16,coverage,,,,,1.0,1600.0,1.0,0.934375,0.065625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VGG16,coverage,,,,,0.95,1520.0,0.95,0.9625,0.0375,0.45714285714285713,0.3472222222222222,0.696969696969697,0.7142857142857143,0.02140468227424749,0.05,0.0013704371438564636,0.1175,0.0725,0.0025,0.0075
VGG16,coverage,,,,,0.9,1440.0,0.9,0.9708333333333333,0.029166666666666667,0.6,0.4722222222222222,0.8787878787878788,0.8571428571428571,0.06488294314381271,0.1,7.979191321834134e-05,0.2075,0.1725,0.005,0.015
VGG16,coverage,,,,,0.8,1280.0,0.8,0.98046875,0.01953125,0.7619047619047619,0.6527777777777778,1.0,1.0,0.1605351170568562,0.2,3.1715003078134593e-05,0.3525,0.3575,0.04,0.05
VGG16,coverage,,,,,0.7,1120.0,0.7,0.9848214285714286,0.015178571428571428,0.8380952380952381,0.7638888888888888,1.0,1.0,0.26220735785953175,0.3,0.0011692348074579487,0.45,0.5225,0.1,0.1275
VGG16,coverage,,,,,0.5,800.0,0.5,0.98875,0.01125,0.9142857142857143,0.875,1.0,1.0,0.4709030100334448,0.5,0.05428397619803698,0.6,0.6675,0.3425,0.39
VGG16,threshold,,,,,0.8,1517.0,0.948125,0.962425840474621,0.037574159525379035,0.45714285714285713,0.3472222222222222,0.696969696969697,0.7142857142857143,0.023411371237458192,0.051875,0.0013704371438564636,0.12,0.0775,0.0025,0.0075
VGG16,threshold,,,,,0.9,1483.0,0.926875,0.9669588671611599,0.033041132838840186,0.5333333333333333,0.4027777777777778,0.8181818181818182,0.8571428571428571,0.04080267558528428,0.073125,0.00011045264304931511,0.1525,0.125,0.0025,0.0125
VGG16,threshold,,,,,0.95,1434.0,0.89625,0.9707112970711297,0.029288702928870293,0.6,0.4722222222222222,0.8787878787878788,0.8571428571428571,0.06889632107023412,0.10375,7.979191321834134e-05,0.2175,0.1775,0.005,0.015
ResNet50,summary,0.015095245262507117,0.002812008310500814,0.07375,0.012283236952006303,,,,,,,,,,,,,,,,
ResNet50,coverage,,,,,1.0,1600.0,1.0,0.92625,0.07375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ResNet50,coverage,,,,,0.95,1520.0,0.95,0.9513157894736842,0.04868421052631579,0.3728813559322034,0.2361111111111111,0.5869565217391305,0.7142857142857143,0.024291497975708502,0.05,0.00018315770963963897,0.08,0.11,0.0025,0.0075
ResNet50,coverage,,,,,0.9,1440.0,0.9,0.9666666666666667,0.03333333333333333,0.5932203389830508,0.4583333333333333,0.8043478260869565,0.9523809523809523,0.06072874493927125,0.1,0.00022985240905630593,0.135,0.2225,0.0075,0.035
ResNet50,coverage,,,,,0.8,1280.0,0.8,0.9828125,0.0171875,0.8135593220338984,0.7083333333333334,0.9782608695652174,1.0,0.15114709851551958,0.2,0.00015461194546663204,0.27,0.4275,0.025,0.0775
ResNet50,coverage,,,,,0.7,1120.0,0.7,0.9919642857142857,0.008035714285714285,0.923728813559322,0.875,1.0,1.0,0.25033738191632926,0.3,0.01174409200273787,0.37,0.57,0.0925,0.1675
ResNet50,coverage,,,,,0.5,800.0,0.5,0.99375,0.00625,0.9576271186440678,0.9305555555555556,1.0,1.0,0.46356275303643724,0.5,0.15495590570185297,0.5325,0.715,0.3375,0.415
ResNet50,threshold,,,,,0.8,1519.0,0.949375,0.9512837393021725,0.048716260697827515,0.3728813559322034,0.2361111111111111,0.5869565217391305,0.7142857142857143,0.02496626180836707,0.050625,0.00018315770963963897,0.08,0.1125,0.0025,0.0075
ResNet50,threshold,,,,,0.9,1467.0,0.916875,0.9665985003408316,0.033401499659168374,0.5847457627118644,0.4444444444444444,0.8043478260869565,0.9523809523809523,0.043184885290148446,0.083125,0.00011642739397490069,0.1275,0.185,0.0025,0.0175
ResNet50,threshold,,,,,0.95,1417.0,0.885625,0.9703599153140438,0.029640084685956247,0.6440677966101694,0.5,0.8695652173913043,0.9523809523809523,0.07219973009446694,0.114375,3.273571448566187e-05,0.1525,0.25,0.0075,0.0475
EfficientNetB0,summary,0.016827342682655975,0.005075555511090115,0.09875,0.01175178717156586,,,,,,,,,,,,,,,,
EfficientNetB0,coverage,,,,,1.0,1600.0,1.0,0.90125,0.09875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EfficientNetB0,coverage,,,,,0.95,1520.0,0.95,0.9217105263157894,0.07828947368421052,0.2468354430379747,0.16666666666666666,0.313953488372093,0.35,0.028432732316227463,0.05,0.04143579274791284,0.0725,0.1,0.015,0.0125
