model,coverage,risk
VGG16,0.000625,0.0
VGG16,0.00125,0.0
VGG16,0.001875,0.0
VGG16,0.0025,0.0
VGG16,0.003125,0.0
VGG16,0.00375,0.0
VGG16,0.004375,0.0
VGG16,0.005,0.0
VGG16,0.005625,0.0
VGG16,0.00625,0.0
VGG16,0.006875,0.0
VGG16,0.0075,0.08333333333333333
VGG16,0.008125,0.07692307692307693
VGG16,0.00875,0.07142857142857142
VGG16,0.009375,0.06666666666666667
VGG16,0.01,0.0625
VGG16,0.010625,0.058823529411764705
VGG16,0.01125,0.05555555555555555
VGG16,0.011875,0.05263157894736842
VGG16,0.0125,0.05
VGG16,0.013125,0.047619047619047616
VGG16,0.01375,0.045454545454545456
VGG16,0.014375,0.043478260869565216
VGG16,0.015,0.041666666666666664
VGG16,0.015625,0.04
VGG16,0.01625,0.038461538461538464
VGG16,0.016875,0.037037037037037035
VGG16,0.0175,0.07142857142857142
VGG16,0.018125,0.06896551724137931
VGG16,0.01875,0.06666666666666667
VGG16,0.019375,0.06451612903225806
VGG16,0.02,0.0625
VGG16,0.020625,0.06060606060606061
VGG16,0.02125,0.058823529411764705
VGG16,0.021875,0.05714285714285714
VGG16,0.0225,0.05555555555555555
VGG16,0.023125,0.05405405405405406
VGG16,0.02375,0.05263157894736842
VGG16,0.024375,0.05128205128205128
VGG16,0.025,0.05
VGG16,0.025625,0.04878048780487805
VGG16,0.02625,0.047619047619047616
VGG16,0.026875,0.046511627906976744
VGG16,0.0275,0.045454545454545456
VGG16,0.028125,0.044444444444444446
VGG16,0.02875,0.043478260869565216
VGG16,0.029375,0.0425531914893617
VGG16,0.03,0.041666666666666664
VGG16,0.030625,0.04081632653061224
VGG16,0.03125,0.04
VGG16,0.031875,0.0392156862745098
VGG16,0.0325,0.038461538461538464
VGG16,0.033125,0.03773584905660377
VGG16,0.03375,0.037037037037037035
VGG16,0.034375,0.03636363636363636
VGG16,0.035,0.03571428571428571
VGG16,0.035625,0.03508771929824561
VGG16,0.03625,0.034482758620689655
VGG16,0.036875,0.03389830508474576
VGG16,0.0375,0.03333333333333333
VGG16,0.038125,0.03278688524590164
VGG16,0.03875,0.03225806451612903
VGG16,0.039375,0.031746031746031744
VGG16,0.04,0.03125
VGG16,0.040625,0.03076923076923077
VGG16,0.04125,0.030303030303030304
VGG16,0.041875,0.029850746268656716
VGG16,0.0425,0.029411764705882353
VGG16,0.043125,0.028985507246376812
VGG16,0.04375,0.02857142857142857
VGG16,0.044375,0.028169014084507043
VGG16,0.045,0.027777777777777776
VGG16,0.045625,0.0273972602739726
VGG16,0.04625,0.02702702702702703
VGG16,0.046875,0.02666666666666667
VGG16,0.0475,0.02631578947368421
VGG16,0.048125,0.025974025974025976
VGG16,0.04875,0.02564102564102564
VGG16,0.049375,0.02531645569620253
VGG16,0.05,0.025
VGG16,0.050625,0.024691358024691357
VGG16,0.05125,0.036585365853658534
VGG16,0.051875,0.03614457831325301
VGG16,0.0525,0.03571428571428571
VGG16,0.053125,0.03529411764705882
VGG16,0.05375,0.03488372093023256
VGG16,0.054375,0.034482758620689655
VGG16,0.055,0.03409090909090909
VGG16,0.055625,0.033707865168539325
VGG16,0.05625,0.03333333333333333
VGG16,0.056875,0.03296703296703297
VGG16,0.0575,0.03260869565217391
VGG16,0.058125,0.03225806451612903
VGG16,0.05875,0.031914893617021274
VGG16,0.059375,0.031578947368421054
VGG16,0.06,0.03125
VGG16,0.060625,0.030927835051546393
VGG16,0.06125,0.030612244897959183
VGG16,0.061875,0.030303030303030304
VGG16,0.0625,0.03
VGG16,0.063125,0.0297029702970297
VGG16,0.06375,0.029411764705882353
VGG16,0.064375,0.02912621359223301
VGG16,0.065,0.028846153846153848
VGG16,0.065625,0.02857142857142857
VGG16,0.06625,0.02830188679245283
VGG16,0.066875,0.028037383177570093
VGG16,0.0675,0.027777777777777776
VGG16,0.068125,0.027522935779816515
VGG16,0.06875,0.02727272727272727
VGG16,0.069375,0.02702702702702703
VGG16,0.07,0.026785714285714284
VGG16,0.070625,0.02654867256637168
VGG16,0.07125,0.02631578947368421
VGG16,0.071875,0.02608695652173913
VGG16,0.0725,0.02586206896551724
VGG16,0.073125,0.02564102564102564
VGG16,0.07375,0.025423728813559324
VGG16,0.074375,0.025210084033613446
VGG16,0.075,0.025
VGG16,0.075625,0.024793388429752067
VGG16,0.07625,0.02459016393442623
VGG16,0.076875,0.024390243902439025
VGG16,0.0775,0.024193548387096774
VGG16,0.078125,0.024
VGG16,0.07875,0.023809523809523808
VGG16,0.079375,0.023622047244094488
VGG16,0.08,0.0234375
VGG16,0.080625,0.023255813953488372
VGG16,0.08125,0.023076923076923078
VGG16,0.081875,0.022900763358778626
VGG16,0.0825,0.022727272727272728
VGG16,0.083125,0.022556390977443608
VGG16,0.08375,0.022388059701492536
VGG16,0.084375,0.022222222222222223
VGG16,0.085,0.022058823529411766
VGG16,0.085625,0.021897810218978103
VGG16,0.08625,0.021739130434782608
VGG16,0.086875,0.02158273381294964
VGG16,0.0875,0.02142857142857143
VGG16,0.088125,0.02127659574468085
VGG16,0.08875,0.02112676056338028
VGG16,0.089375,0.02097902097902098
VGG16,0.09,0.020833333333333332
VGG16,0.090625,0.020689655172413793
VGG16,0.09125,0.02054794520547945
VGG16,0.091875,0.02040816326530612
VGG16,0.0925,0.02027027027027027
VGG16,0.093125,0.020134228187919462
VGG16,0.09375,0.02
VGG16,0.094375,0.019867549668874173
VGG16,0.095,0.019736842105263157
VGG16,0.095625,0.0196078431372549
VGG16,0.09625,0.01948051948051948
VGG16,0.096875,0.01935483870967742
VGG16,0.0975,0.019230769230769232
VGG16,0.098125,0.01910828025477707
VGG16,0.09875,0.0189873417721519
VGG16,0.099375,0.018867924528301886
VGG16,0.1,0.01875
VGG16,0.100625,0.018633540372670808
VGG16,0.10125,0.018518518518518517
VGG16,0.101875,0.018404907975460124
VGG16,0.1025,0.018292682926829267
VGG16,0.103125,0.024242424242424242
VGG16,0.10375,0.024096385542168676
VGG16,0.104375,0.023952095808383235
VGG16,0.105,0.023809523809523808
VGG16,0.105625,0.023668639053254437
VGG16,0.10625,0.023529411764705882
VGG16,0.106875,0.023391812865497075
VGG16,0.1075,0.023255813953488372
VGG16,0.108125,0.023121387283236993
VGG16,0.10875,0.022988505747126436
VGG16,0.109375,0.022857142857142857
VGG16,0.11,0.022727272727272728
VGG16,0.110625,0.022598870056497175
VGG16,0.11125,0.02247191011235955
VGG16,0.111875,0.0223463687150838
