image_id,filename,filepath,true_class,model,predicted_class,confidence,failure_type,selection_reason
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,VGG16,notumor,0.927734375,shared_failure,All 3 models misclassified this image
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,ResNet50,notumor,0.630859375,shared_failure,All 3 models misclassified this image
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,EfficientNetB0,meningioma,0.900390625,shared_failure,All 3 models misclassified this image
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,VGG16,meningioma,0.63134765625,shared_failure,All 3 models misclassified this image
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,ResNet50,meningioma,0.96044921875,shared_failure,All 3 models misclassified this image
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,EfficientNetB0,meningioma,0.6708984375,shared_failure,All 3 models misclassified this image
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,VGG16,meningioma,1.0,shared_failure,All 3 models misclassified this image
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,ResNet50,meningioma,0.9990234375,shared_failure,All 3 models misclassified this image
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,EfficientNetB0,notumor,0.55126953125,shared_failure,All 3 models misclassified this image
238,glioma/Te-gl_313.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_313.jpg,glioma,VGG16,meningioma,0.55810546875,shared_failure,All 3 models misclassified this image
