failure_type,model,count
glioma_meningioma_confusion,EfficientNetB0,10
glioma_meningioma_confusion,ResNet50,10
glioma_meningioma_confusion,VGG16,10
model_specific_failure,EfficientNetB0,10
model_specific_failure,ResNet50,10
model_specific_failure,VGG16,10
pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0,EfficientNetB0,10
pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0,ResNet50,10
pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,EfficientNetB0,10
pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,VGG16,10
pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,ResNet50,10
pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,VGG16,10
pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,EfficientNetB0,10
pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,ResNet50,10
pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,EfficientNetB0,10
pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,VGG16,10
pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,ResNet50,10
pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,VGG16,10
pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,EfficientNetB0,10
pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,ResNet50,10
pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,EfficientNetB0,10
pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,VGG16,10
pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,ResNet50,10
pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,VGG16,10
shared_failure,EfficientNetB0,10
shared_failure,ResNet50,10
shared_failure,VGG16,10
